"date/time (SER UTC+1,00)",Debit[l/s]
6.3.2015 14:50:00,83
6.3.2015 14:55:00,88
6.3.2015 15:00:00,85
6.3.2015 15:05:00,85
6.3.2015 15:10:00,85
6.3.2015 15:15:00,85
6.3.2015 15:20:00,83
6.3.2015 15:25:00,85
6.3.2015 15:30:00,84
6.3.2015 15:35:00,82
6.3.2015 15:40:00,83
6.3.2015 15:45:00,82
6.3.2015 15:50:00,83
6.3.2015 15:55:00,85
6.3.2015 16:00:00,85
6.3.2015 16:05:00,82
6.3.2015 16:10:00,85
6.3.2015 16:15:00,83
6.3.2015 16:20:00,82
6.3.2015 16:25:00,82
6.3.2015 16:30:00,81
6.3.2015 16:35:00,82
6.3.2015 16:40:00,81
6.3.2015 16:45:00,79
6.3.2015 16:50:00,82
6.3.2015 16:55:00,84
6.3.2015 17:00:00,80
6.3.2015 17:05:00,82
6.3.2015 17:10:00,82
6.3.2015 17:15:00,82
6.3.2015 17:20:00,82
6.3.2015 17:25:00,87
6.3.2015 17:30:00,89
6.3.2015 17:35:00,86
6.3.2015 17:40:00,86
6.3.2015 17:45:00,83
6.3.2015 17:50:00,83
6.3.2015 17:55:00,85
6.3.2015 18:00:00,87
6.3.2015 18:05:00,84
6.3.2015 18:10:00,88
6.3.2015 18:15:00,88
6.3.2015 18:20:00,83
6.3.2015 18:25:00,85
6.3.2015 18:30:00,83
6.3.2015 18:35:00,84
6.3.2015 18:40:00,88
6.3.2015 18:45:00,88
6.3.2015 18:50:00,89
6.3.2015 18:55:00,88
6.3.2015 19:00:00,88
6.3.2015 19:05:00,88
6.3.2015 19:10:00,94
6.3.2015 19:15:00,97
6.3.2015 19:20:00,95
6.3.2015 19:25:00,96
6.3.2015 19:30:00,98
6.3.2015 19:35:00,97
6.3.2015 19:40:00,96
6.3.2015 19:45:00,100
6.3.2015 19:50:00,95
6.3.2015 19:55:00,93
6.3.2015 20:00:00,93
6.3.2015 20:05:00,91
6.3.2015 20:10:00,91
6.3.2015 20:15:00,91
6.3.2015 20:20:00,91
6.3.2015 20:25:00,90
6.3.2015 20:30:00,90
6.3.2015 20:35:00,93
6.3.2015 20:40:00,93
6.3.2015 20:45:00,86
6.3.2015 20:50:00,88
6.3.2015 20:55:00,94
6.3.2015 21:00:00,90
6.3.2015 21:05:00,88
6.3.2015 21:10:00,87
6.3.2015 21:15:00,84
6.3.2015 21:20:00,83
6.3.2015 21:25:00,83
6.3.2015 21:30:00,81
6.3.2015 21:35:00,82
6.3.2015 21:40:00,79
6.3.2015 21:45:00,78
6.3.2015 21:50:00,81
6.3.2015 21:55:00,79
6.3.2015 22:00:00,79
6.3.2015 22:05:00,78
6.3.2015 22:10:00,81
6.3.2015 22:15:00,78
6.3.2015 22:20:00,79
6.3.2015 22:25:00,79
6.3.2015 22:30:00,78
6.3.2015 22:35:00,77
6.3.2015 22:40:00,77
6.3.2015 22:45:00,74
6.3.2015 22:50:00,74
6.3.2015 22:55:00,73
6.3.2015 23:00:00,75
6.3.2015 23:05:00,74
6.3.2015 23:10:00,73
6.3.2015 23:15:00,74
6.3.2015 23:20:00,75
6.3.2015 23:25:00,74
6.3.2015 23:30:00,74
6.3.2015 23:35:00,72
6.3.2015 23:40:00,70
6.3.2015 23:45:00,71
6.3.2015 23:50:00,69
6.3.2015 23:55:00,70
7.3.2015 00:00:00,67
7.3.2015 00:05:00,66
7.3.2015 00:10:00,64
7.3.2015 00:15:00,63
7.3.2015 00:20:00,61
7.3.2015 00:25:00,67
7.3.2015 00:30:00,86
7.3.2015 00:35:00,85
7.3.2015 00:40:00,76
7.3.2015 00:45:00,58
7.3.2015 00:50:00,59
7.3.2015 00:55:00,56
7.3.2015 01:00:00,57
7.3.2015 01:05:00,57
7.3.2015 01:10:00,58
7.3.2015 01:15:00,56
7.3.2015 01:20:00,55
7.3.2015 01:25:00,55
7.3.2015 01:30:00,57
7.3.2015 01:35:00,57
7.3.2015 01:40:00,59
7.3.2015 01:45:00,56
7.3.2015 01:50:00,55
7.3.2015 01:55:00,54
7.3.2015 02:00:00,51
7.3.2015 02:05:00,49
7.3.2015 02:10:00,52
7.3.2015 02:15:00,50
7.3.2015 02:20:00,51
7.3.2015 02:25:00,49
7.3.2015 02:30:00,48
7.3.2015 02:35:00,46
7.3.2015 02:40:00,47
7.3.2015 02:45:00,45
