date,U17,Baseflow,U17_without_baseflow,MOL5
2016-11-27 09:00:00,115.83333333333333,208.83333333333334,0.0,0.0
2016-11-27 10:00:00,149.08333333333334,211.25,0.0,0.0
2016-11-27 11:00:00,189.16666666666666,245.0,0.0,0.0
2016-11-27 12:00:00,196.08333333333334,247.0,0.0,0.0
2016-11-27 13:00:00,192.16666666666666,237.66666666666666,0.0,0.0
2016-11-27 14:00:00,190.25,224.5,0.0,0.0
2016-11-27 15:00:00,176.41666666666666,209.33333333333334,0.0,0.0
2016-11-27 16:00:00,165.58333333333334,191.91666666666666,0.0,0.0
2016-11-27 17:00:00,164.58333333333334,184.41666666666666,0.0,0.0
2016-11-27 18:00:00,172.08333333333334,189.25,0.0,0.0
2016-11-27 19:00:00,178.16666666666666,208.91666666666666,0.0,0.0
2016-11-27 20:00:00,179.83333333333334,212.08333333333334,0.0,0.0
2016-11-27 21:00:00,161.08333333333334,199.75,0.0,0.0
2016-11-27 22:00:00,142.66666666666666,169.41666666666666,0.0,0.0
2016-11-27 23:00:00,126.08333333333333,140.75,0.0,0.0
2016-11-28 00:00:00,110.33333333333333,126.33333333333333,0.0,0.0
2016-11-28 01:00:00,97.58333333333333,106.91666666666667,0.0,0.0
2016-11-28 02:00:00,88.91666666666667,96.33333333333333,0.0,0.0
2016-11-28 03:00:00,84.25,92.66666666666667,0.0,0.0
2016-11-28 04:00:00,82.91666666666667,91.0,0.0,0.0
2016-11-28 05:00:00,82.25,89.41666666666667,0.0,0.0
2016-11-28 06:00:00,85.0,92.58333333333333,0.0,0.0
2016-11-28 07:00:00,110.33333333333333,126.33333333333333,0.0,0.0
2016-11-28 08:00:00,145.66666666666666,198.25,0.0,0.0
2016-11-28 09:00:00,144.0,208.83333333333334,0.0,0.0
2016-11-28 10:00:00,150.5,211.25,0.0,0.0
2016-11-28 11:00:00,147.83333333333334,245.0,0.0,0.0
2016-11-28 12:00:00,144.41666666666666,247.0,0.0,0.0
2016-11-28 13:00:00,147.91666666666666,237.66666666666666,0.0,0.0
2016-11-28 14:00:00,140.66666666666666,224.5,0.0,0.0
2016-11-28 15:00:00,133.25,209.33333333333334,0.0,0.0
2016-11-28 16:00:00,130.5,191.91666666666666,0.0,0.0
2016-11-28 17:00:00,132.08333333333334,184.41666666666666,0.0,0.0
2016-11-28 18:00:00,138.0,189.25,0.0,0.0
2016-11-28 19:00:00,148.33333333333334,208.91666666666666,0.0,0.0
2016-11-28 20:00:00,156.25,212.08333333333334,0.0,0.0
2016-11-28 21:00:00,151.33333333333334,199.75,0.0,0.0
2016-11-28 22:00:00,135.91666666666666,169.41666666666666,0.0,0.0
2016-11-28 23:00:00,121.41666666666667,140.75,0.0,0.0
2016-11-29 00:00:00,106.0,126.33333333333333,0.0,0.0
2016-11-29 01:00:00,95.0,106.91666666666667,0.0,0.0
2016-11-29 02:00:00,87.58333333333333,96.33333333333333,0.0,0.0
2016-11-29 03:00:00,84.25,92.66666666666667,0.0,0.0
2016-11-29 04:00:00,82.66666666666667,91.0,0.0,0.0
2016-11-29 05:00:00,82.41666666666667,89.41666666666667,0.0,0.0
2016-11-29 06:00:00,85.5,92.58333333333333,0.0,0.0
2016-11-29 07:00:00,110.66666666666667,126.33333333333333,0.0,0.0
2016-11-29 08:00:00,147.16666666666666,198.25,0.0,0.0
2016-11-29 09:00:00,153.25,208.83333333333334,0.0,0.0
2016-11-29 10:00:00,149.16666666666666,211.25,0.0,0.0
2016-11-29 11:00:00,146.75,245.0,0.0,0.0
2016-11-29 12:00:00,142.5,247.0,0.0,0.0
2016-11-29 13:00:00,139.5,237.66666666666666,0.0,0.0
2016-11-29 14:00:00,134.91666666666666,224.5,0.0,0.0
2016-11-29 15:00:00,131.16666666666666,209.33333333333334,0.0,0.0
2016-11-29 16:00:00,123.83333333333333,191.91666666666666,0.0,0.0
2016-11-29 17:00:00,126.08333333333333,184.41666666666666,0.0,0.0
2016-11-29 18:00:00,132.91666666666666,189.25,0.0,0.0
2016-11-29 19:00:00,141.33333333333334,208.91666666666666,0.0,0.0
2016-11-29 20:00:00,154.41666666666666,212.08333333333334,0.0,0.0
2016-11-29 21:00:00,149.58333333333334,199.75,0.0,0.0
2016-11-29 22:00:00,136.25,169.41666666666666,0.0,0.0
2016-11-29 23:00:00,122.83333333333333,140.75,0.0,0.0
2016-11-30 00:00:00,105.0,126.33333333333333,0.0,0.0
2016-11-30 01:00:00,94.83333333333333,106.91666666666667,0.0,0.0
2016-11-30 02:00:00,87.33333333333333,96.33333333333333,0.0,0.0
2016-11-30 03:00:00,85.33333333333333,92.66666666666667,0.0,0.0
